"id","name","category","price","description","unit_shipping_cost"
278,"Chili dog","Sports & Outdoor",6892,"Its main implementation is the Glasgow Haskell Compiler.",5.67884
279,"Corn flakes","Office Supply",7735,"Haskell features a type system with type inference and lazy evaluation.",9.566547
280,"Onion Rings","Beauty & Personal",14539,"Ports are used to communicate with the external world.",5.9084826
281,"Maple Bacon Doughnut","Office Supply",16101,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",8.799411
282,"Shepherd's Pie","Fashion",11369,"Ports are created with the built-in function open_port.",8.264027
283,"Bao","Fashion",17123,"Do you come here often?",3.9429834
284,"Chile Relleno","Home & Garden",15065,"Ports are created with the built-in function open_port.",6.8710995
285,"Eggo","Fashion",9443,"In 1989 the building was heavily damaged by fire, but it has since been restored.",9.034582
286,"Pop-Tarts","Books",1624,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",3.4018319
287,"Bird's Nest Soup","Books",7174,"Its main implementation is the Glasgow Haskell Compiler.",3.2216485
288,"Mashed pumpkin","Music Instruments",1297,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",6.709802
289,"Low Country Boil","Books",8785,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",7.8114567
290,"Ice Cream","Office Supply",8690,"Where are my pants?",7.2297535
291,"Sonofabitch stew","Electronics",1289,"Ports are created with the built-in function open_port.",9.436027
292,"Creme Brulee","Electronics",2417,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",4.041893
293,"Frito Pie","Beauty & Personal",18161,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",2.3015106
294,"Samosa","Home & Garden",13250,"The arguments can be primitive data types or compound data types.",5.0421734
295,"Garden salad","Fashion",7285,"Any element of a tuple can be accessed in constant time.",2.5743296
296,"White chocolate cookie","Beauty & Personal",10858,"Erlang is a general-purpose, concurrent, functional programming language.",6.8285847
297,"Cheese fries","Fashion",5156,"Its main implementation is the Glasgow Haskell Compiler.",6.4986615
298,"Escargot","Video Games",16564,"Make me a sandwich.",3.0889432
299,"Haggis","Health & Hygine",1171,"Atoms are used within a program to denote distinguished values.",9.019176
300,"Roasted Bone Marrow","Office Supply",8231,"In 1989 the building was heavily damaged by fire, but it has since been restored.",4.5385394
301,"Chimichanga","Fashion",3161,"Type classes first appeared in the Haskell programming language.",5.815587
302,"Gyoza","Music Instruments",7059,"Erlang is known for its designs that are well suited for systems.",3.5083542
303,"Crab Rangoon","Books",7447,"Ports are used to communicate with the external world.",5.9972878
304,"Quesadilla","Music Instruments",13492,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",7.2294965
305,"Chicken sandwich","Music Instruments",518,"Do you come here often?",7.3716884
306,"Chocolate Chip Cookie","Electronics",17197,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",9.641656
307,"Clam chowder","Video Games",4693,"Atoms are used within a program to denote distinguished values.",4.126815
308,"Tres Leches Cake","Books",4839,"He looked inquisitively at his keyboard and wrote another sentence.",4.9857674
309,"Patty","Office Supply",12698,"She spent her earliest years reading classic literature, and writing poetry.",6.4516277
310,"Alice Springs Chicken","Electronics",8568,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",9.81586
311,"Senate bean soup","Video Games",8135,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",8.457616
312,"White chocolate cookie","Office Supply",5954,"Do you have any idea why this is not working?",6.99821
313,"Waffle","Electronics",19070,"Ports are created with the built-in function open_port.",7.283644
314,"Cheese fries","Office Supply",6084,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",9.324809
315,"Italian Beef Sandwich","Music Instruments",10133,"Type classes first appeared in the Haskell programming language.",7.0297194
316,"Apple sauce","Sports & Outdoor",13389,"The arguments can be primitive data types or compound data types.",7.7234964
317,"Pigs in blankets","Sports & Outdoor",3803,"It is also a garbage-collected runtime system.",2.5735776
318,"Slinger","Home & Garden",8202,"Do you come here often?",2.1083171
319,"Corn relish","Home & Garden",16064,"She spent her earliest years reading classic literature, and writing poetry.",4.1319785
320,"Geoduck","Video Games",5449,"He looked inquisitively at his keyboard and wrote another sentence.",5.9293623
321,"Soul food","Sports & Outdoor",8429,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",5.204094
322,"Yeung Chow fried rice","Sports & Outdoor",5630,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",8.770027
323,"Poutine","Music Instruments",14712,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",5.464299
324,"Black Pudding","Beauty & Personal",1848,"Do you have any idea why this is not working?",9.376095
325,"Baklava","Office Supply",1823,"He looked inquisitively at his keyboard and wrote another sentence.",4.004715
326,"Cheese stuffed crust pizza","Beauty & Personal",16663,"Do you come here often?",8.871549
327,"Celery Victor","Home & Garden",5059,"Its main implementation is the Glasgow Haskell Compiler.",2.9067466
328,"Cheese Curds","Beauty & Personal",5717,"It is also a garbage-collected runtime system.",5.457085
329,"Venison","Music Instruments",11733,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",4.5100164
330,"Tomato compote","Office Supply",765,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",3.682959
331,"Bird's Nest Soup","Video Games",14784,"She spent her earliest years reading classic literature, and writing poetry.",3.8716676
332,"Pork Belly","Fashion",15335,"Erlang is a general-purpose, concurrent, functional programming language.",5.6264105
333,"Juba","Office Supply",8711,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",5.027481
334,"Succotash","Health & Hygine",2959,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",5.5429244
335,"Spaghetti Bolognese","Beauty & Personal",3745,"Erlang is a general-purpose, concurrent, functional programming language.",5.357728
336,"Hokkien fried rice","Books",8010,"Erlang is known for its designs that are well suited for systems.",4.4392767
337,"Sichuan Hot Pot","Health & Hygine",12716,"The arguments can be primitive data types or compound data types.",2.4462404
338,"Chili con carne","Electronics",19408,"She spent her earliest years reading classic literature, and writing poetry.",5.0043473
339,"Wasabi Peas","Fashion",1457,"Where are my pants?",4.2110233
340,"Ranch dressing","Office Supply",19807,"I don't even care.",9.329306
341,"Apple butter","Fashion",7563,"It is also a garbage-collected runtime system.",6.220287
342,"Brunswick stew","Health & Hygine",15078,"In 1989 the building was heavily damaged by fire, but it has since been restored.",3.9621887
343,"Maple Bacon Doughnut","Home & Garden",2492,"I don't even care.",4.1353416
344,"Chicken and waffles","Beauty & Personal",9404,"Ports are used to communicate with the external world.",4.5442014
345,"Meatcake","Office Supply",12281,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",2.6220775
346,"Currywurst","Health & Hygine",11415,"I don't even care.",8.984754
347,"Potato skins","Home & Garden",11593,"Any element of a tuple can be accessed in constant time.",6.438443
348,"Calamari","Home & Garden",16772,"He looked inquisitively at his keyboard and wrote another sentence.",3.9219067
349,"Hot Chicken sandwich","Music Instruments",16132,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",8.804003
350,"Baklava","Fashion",13110,"Where are my pants?",8.221285
351,"Spaghetti Bolognese","Beauty & Personal",7175,"Where are my pants?",7.322553
352,"Mini pizzas","Fashion",6363,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",3.0033293
353,"Onion Rings","Beauty & Personal",10286,"Do you come here often?",5.4877315
354,"Chicken Salad Wrap","Books",14323,"Type classes first appeared in the Haskell programming language.",4.5781417
355,"Seafood cocktail","Electronics",5584,"Type classes first appeared in the Haskell programming language.",9.50609
356,"Empanada","Health & Hygine",12443,"Erlang is known for its designs that are well suited for systems.",7.8658023
357,"Fried fish","Home & Garden",1675,"In 1989 the building was heavily damaged by fire, but it has since been restored.",2.978996
358,"Risotto","Video Games",770,"Erlang is known for its designs that are well suited for systems.",5.095071
359,"Rabbit pie","Office Supply",19670,"Ports are created with the built-in function open_port.",3.3327105
360,"Pocky","Fashion",1027,"Type classes first appeared in the Haskell programming language.",6.7987494
361,"Pastrami","Music Instruments",4280,"I don't even care.",9.916457
362,"Maraca pie","Electronics",18063,"Do you have any idea why this is not working?",5.98503
363,"Milk Steak","Electronics",6362,"Make me a sandwich.",7.4996777
364,"Kung Pao Chicken","Office Supply",1825,"It is also a garbage-collected runtime system.",6.6200466
365,"Oysters Rockefeller","Music Instruments",16943,"Do you come here often?",7.29037
366,"Jell-O","Sports & Outdoor",15378,"Erlang is known for its designs that are well suited for systems.",7.025632
